Probe	ADCADN	ATRX	AUTS18	BAFopathy	BFLS	CdLS	CHARGE	Control	Down	Dup7	EEOC	FLHS	GTPTS	HMA	HVDAS_C	HVDAS_T	ICF1	ICF2_3_4	Kabuki	KDVS	Kleefstra	MRD51	MRX93	MRX97	MRXSCJ	MRXSN	MRXSSR	RMNS	RSTS	SBBYSS	SETD1B	Sotos	TBRS	WDSTS	Williams
cg00412842	0.46103621	0.10465039	0.09423548	0.09430242	0.08872077	0.09035777	0.11424761	0.1190674	0.11459377	0.12173631	0.10692961	0.11017215	0.07816505	0.14132226	0.09584362	0.07664792	0.12127048	0.12078004	0.10187746	0.08894519	0.12456082	0.15057539	0.14049405	0.12898557	0.09998547	0.11354383	0.12811582	0.06773843	0.09329241	0.09335747	0.12992844	0.11135354	0.1013195	0.10305419	0.12915467
cg04427498	0.6637497	0.2819526	0.3332167	0.2496988	0.278738	0.2480277	0.2253744	0.3043379	0.294404	0.2987501	0.2655581	0.2809001	0.1494665	0.2206295	0.271713	0.2646611	0.2921911	0.324117	0.2646939	0.279688	0.3046302	0.3364495	0.3365595	0.3597037	0.3128672	0.3048728	0.2903611	0.2566578	0.2567569	0.238089	0.3314051	0.3080998	0.2455352	0.2592533	0.2869733
cg08528826	0.40892085	0.12516679	0.08564895	0.09973872	0.09319992	0.09307233	0.0942301	0.09733123	0.09155037	0.09659235	0.08058728	0.10230734	0.08250752	0.13201679	0.08642929	0.09837396	0.09540356	0.10146952	0.10513667	0.07230371	0.12735083	0.17751129	0.16398942	0.1396188	0.11917907	0.13390793	0.11060425	0.10488118	0.09990267	0.08718989	0.10371161	0.10530886	0.1135165	0.12537607	0.09694481
cg02932314	0.5495003	0.2056899	0.197093	0.1798881	0.1852185	0.1656633	0.1833075	0.1946353	0.2032796	0.1731996	0.1573546	0.1746908	0.185092	0.2030332	0.1334997	0.1417099	0.1454043	0.1851137	0.1757083	0.1662944	0.2182736	0.2264688	0.2403977	0.2226525	0.2041912	0.2051098	0.2229148	0.1541396	0.1744403	0.1840264	0.2156196	0.2157961	0.1962829	0.1905142	0.2067257
cg21911021	0.49785797	0.16191921	0.14772968	0.1247968	0.11069372	0.11109883	0.11090327	0.14440189	0.15395328	0.12483562	0.11461713	0.11723239	0.07297649	0.15486877	0.14862619	0.1341068	0.15716217	0.18554606	0.1287015	0.09338859	0.14985767	0.18932075	0.17196807	0.1832925	0.12914398	0.14216471	0.14544974	0.10601028	0.12084585	0.11142443	0.17189304	0.11532515	0.12092378	0.13437344	0.13946493
cg09379755	0.36646944	0.0992821	0.10403924	0.09545429	0.09602395	0.08957871	0.10930092	0.1062156	0.09377116	0.10320794	0.07902328	0.08522464	0.09752691	0.11842528	0.10102996	0.0928057	0.11701803	0.11422306	0.09540204	0.07746404	0.12023944	0.12314943	0.13740475	0.11993914	0.10214165	0.10261163	0.11482407	0.08454312	0.10878758	0.09605222	0.11826659	0.12569589	0.10010269	0.09284517	0.13136973
cg07665260	0.46702735	0.12012359	0.12102428	0.1114655	0.08915321	0.10601748	0.13118223	0.12260459	0.12472443	0.13617885	0.11180332	0.12980892	0.07781969	0.1072937	0.10139484	0.10511959	0.0892966	0.13433884	0.1151671	0.1064826	0.13379407	0.14120676	0.15153975	0.12160116	0.13376282	0.13506446	0.1175242	0.08397571	0.10889351	0.11795921	0.13273223	0.15406802	0.11460818	0.12121747	0.16783605
cg12732998	0.37019546	0.11592248	0.10055538	0.09631545	0.10914441	0.08821582	0.11022018	0.11227908	0.10556316	0.1136461	0.08337446	0.09354499	0.07541091	0.11112875	0.08877978	0.09561481	0.1166789	0.10024724	0.09946026	0.08744914	0.11007491	0.12789569	0.14044685	0.11802214	0.10537736	0.10105897	0.12524406	0.09089044	0.09070131	0.10378572	0.1262406	0.12370221	0.08495185	0.08851358	0.13094429
cg19825079	0.31348603	0.04550321	0.04085778	0.04283587	0.03983305	0.04099038	0.05005138	0.04533987	0.04244944	0.04802258	0.03258124	0.04278769	0.03921615	0.06514723	0.03915982	0.04315354	0.05370183	0.04573263	0.04335945	0.03733917	0.05695663	0.06326057	0.06879892	0.05627759	0.04439611	0.0540847	0.05285645	0.04537606	0.04304413	0.03720472	0.0534474	0.0508236	0.04762911	0.04226744	0.04957959
cg20818778	0.41896019	0.16107543	0.12553135	0.1171732	0.10967001	0.10804251	0.12361629	0.14327421	0.13911741	0.13552103	0.10902186	0.12517095	0.08459393	0.13546243	0.11493059	0.12666601	0.17866666	0.17287449	0.12578332	0.11495952	0.13830432	0.15609057	0.15248134	0.16205822	0.14086657	0.14055316	0.13244902	0.106791	0.11839511	0.10453377	0.17261219	0.12724091	0.11843452	0.12807295	0.13908994
cg16829306	0.6311198	0.2834686	0.2861646	0.256617	0.2714947	0.2226753	0.2484934	0.2876847	0.2864939	0.2764067	0.2477154	0.293948	0.2027491	0.2652618	0.1950461	0.2647779	0.264113	0.3151203	0.2440184	0.2853679	0.2722936	0.3249393	0.3106237	0.298037	0.3259896	0.2741958	0.2625302	0.2143568	0.241996	0.2577685	0.3202087	0.2145765	0.2415893	0.2407526	0.2961069
cg09105193	0.32069481	0.08551533	0.07732646	0.07608865	0.0817365	0.07584941	0.07674148	0.08091318	0.09767565	0.07161979	0.07373535	0.08582646	0.06718661	0.10141739	0.08393097	0.08577257	0.07165261	0.09763215	0.07321241	0.06410895	0.09546421	0.12082585	0.12140947	0.09669729	0.08028238	0.09503286	0.08651147	0.06495556	0.08462778	0.07845391	0.06597533	0.09251588	0.08873146	0.09301448	0.088177
cg06375949	0.3942468	0.1490583	0.1349273	0.1223338	0.1208764	0.115629	0.1259027	0.1385371	0.1333642	0.128806	0.1161828	0.1209178	0.102913	0.15097	0.1406782	0.1225892	0.1647395	0.146868	0.1273063	0.1169867	0.1354979	0.1631503	0.1686963	0.1584578	0.1363007	0.1434048	0.154827	0.1175507	0.1265405	0.1280761	0.1745539	0.1377325	0.1141014	0.116823	0.143921
cg03018058	0.6188374	0.1871578	0.1394304	0.2166469	0.186875	0.2171348	0.2570151	0.2506227	0.2769308	0.2543056	0.3440853	0.3442296	0.2374234	0.2798499	0.2163088	0.1687431	0.1334205	0.2551119	0.2545203	0.2320526	0.2367765	0.2226058	0.2772928	0.2946105	0.149272	0.3139428	0.2146648	0.1248927	0.2240151	0.2348638	0.2905127	0.204607	0.1900463	0.234256	0.2810396
cg26248075	0.4395823	0.1717343	0.1772953	0.1408463	0.17905	0.1338643	0.1523398	0.1679498	0.1666429	0.165522	0.1308978	0.1591798	0.1262199	0.1526731	0.168125	0.1371635	0.1678563	0.1898538	0.1461474	0.1359463	0.1606116	0.1844256	0.1985933	0.1713579	0.1611954	0.1643156	0.1500076	0.1375063	0.1381942	0.129046	0.1869068	0.1773478	0.1401896	0.1466456	0.1695503
cg25680829	0.39207957	0.13982417	0.11919172	0.10567167	0.11155224	0.10210956	0.10330602	0.11206525	0.1032587	0.11352894	0.0899438	0.10713265	0.08465286	0.12454519	0.10629158	0.11357064	0.12840761	0.12362614	0.10183299	0.10696033	0.12152497	0.14105429	0.15824403	0.13169198	0.11711011	0.11932932	0.12797509	0.11724319	0.10221072	0.10614573	0.13981282	0.12464125	0.09789285	0.11434059	0.1170421
cg20646280	0.32615989	0.08088277	0.08427332	0.07273734	0.08120657	0.07043028	0.0745661	0.07886845	0.0750915	0.08259137	0.06372584	0.06764567	0.05399617	0.08549016	0.0778159	0.06767843	0.09930313	0.08401133	0.07187983	0.05676004	0.07611698	0.10562223	0.12256113	0.10004025	0.07519793	0.08829892	0.09036642	0.06742091	0.07078321	0.06731748	0.11037451	0.09040614	0.07766933	0.06885768	0.08786649
cg24430580	0.29533318	0.06349098	0.06544751	0.05492635	0.0705091	0.05058539	0.06489531	0.06890421	0.07480967	0.0685023	0.04278197	0.07829278	0.04454775	0.06720648	0.0536366	0.0510691	0.07174552	0.06232079	0.05682489	0.05780245	0.06402993	0.09515384	0.10289097	0.08498269	0.07799119	0.07286763	0.06751273	0.04615036	0.05226812	0.05077134	0.07099608	0.07581919	0.05719867	0.06011817	0.0686192
cg09921810	0.28324922	0.08779355	0.06241715	0.06342198	0.05940559	0.05538955	0.07046671	0.0699089	0.05629225	0.07680736	0.05166828	0.07650235	0.04967985	0.09573975	0.06306422	0.06343195	0.09666113	0.08380798	0.06515709	0.05030687	0.07485194	0.0915364	0.10217787	0.07693895	0.05972574	0.06515317	0.0818073	0.05436072	0.05623884	0.05743886	0.07972606	0.0751914	0.065548	0.06103625	0.0830486
cg06215569	0.27703758	0.06745768	0.02432093	0.0373159	0.02371353	0.02829073	0.04700867	0.04274419	0.03786453	0.04275759	0.02207154	0.05857022	0.03314155	0.04925396	0.02642734	0.03296088	0.05374105	0.05180849	0.03739207	0.01968508	0.04762226	0.06786914	0.06400118	0.05650817	0.04492223	0.03902759	0.04958189	0.03075767	0.02497323	0.03345386	0.04153282	0.0496753	0.03731507	0.0370393	0.04463763
cg05182555	0.30676284	0.08896266	0.07672586	0.07617971	0.08044719	0.07303542	0.08370062	0.07954497	0.08035319	0.08403038	0.05308066	0.08452962	0.06284484	0.08294032	0.06944043	0.07638303	0.098394	0.08768706	0.07597041	0.05453244	0.08481577	0.10757239	0.10817794	0.08638076	0.07992496	0.09061037	0.08626195	0.06213415	0.0743747	0.07228229	0.09502497	0.09036121	0.07428994	0.08092278	0.08428021
cg06528306	0.34670371	0.07614103	0.07474277	0.06583745	0.06151608	0.06277339	0.06685357	0.07180611	0.0712793	0.06938705	0.06374038	0.05837805	0.06093357	0.07390719	0.06089981	0.06562548	0.08086553	0.05237327	0.06394416	0.05311539	0.08202794	0.08814781	0.08767227	0.07990488	0.06522735	0.08092749	0.08191509	0.05978048	0.06613478	0.07041865	0.07517072	0.082385	0.07661202	0.0755524	0.07559154
cg17252960	0.36933574	0.1352437	0.12274618	0.10612303	0.11333681	0.11362839	0.11927039	0.128216	0.12191673	0.12783275	0.08834582	0.10879224	0.10119278	0.13603775	0.1260564	0.13642558	0.14773385	0.12259325	0.11922799	0.08813879	0.13511228	0.16824832	0.1733815	0.1405261	0.11201726	0.13921142	0.13359353	0.11105951	0.11369168	0.11214958	0.15716146	0.15904409	0.11582522	0.12029162	0.14482997
cg06971092	0.595086	0.25728	0.255388	0.2128609	0.2354382	0.2045342	0.2641032	0.2770902	0.248715	0.3316278	0.2189832	0.2497247	0.1857745	0.2256406	0.2131386	0.2308142	0.2978758	0.3502551	0.2527008	0.2254941	0.2414054	0.2697528	0.2679291	0.2582941	0.2554647	0.2707583	0.2474712	0.2051136	0.2082333	0.1998813	0.3044864	0.2884986	0.2064496	0.2277052	0.3144456
cg11807105	0.4461095	0.1501244	0.147351	0.1482971	0.1432247	0.1468724	0.1595527	0.1614854	0.1509725	0.1503267	0.15414	0.154578	0.120905	0.1780874	0.1695141	0.149868	0.1496	0.1410972	0.1502203	0.1370612	0.1650804	0.2127292	0.1989892	0.1585128	0.1637589	0.1551572	0.1544185	0.1411176	0.1433445	0.1407178	0.1993156	0.1988926	0.1514402	0.141454	0.1785064
cg03957108	0.34484595	0.11769009	0.10988455	0.07990739	0.08545669	0.07553866	0.08531429	0.09899097	0.10090078	0.10253065	0.06893137	0.09360608	0.05865251	0.089799	0.08408555	0.1034751	0.10963112	0.10450495	0.08342491	0.07234613	0.09762884	0.11606539	0.12399584	0.11776035	0.10188406	0.10510964	0.09643609	0.07194539	0.07496537	0.07438306	0.12575265	0.10433972	0.07393925	0.08028373	0.1073261
cg14102128	0.33262554	0.08601678	0.03394092	0.03357101	0.0467411	0.03598552	0.04192691	0.04945385	0.05231155	0.04687817	0.04290344	0.04819215	0.02594507	0.04869978	0.03380789	0.0406986	0.04384191	0.03618086	0.04084447	0.02377265	0.04371065	0.11399935	0.08706122	0.06723145	0.05061682	0.0584832	0.04669351	0.03799298	0.03675319	0.03354119	0.04374249	0.07752151	0.04864545	0.06330171	0.0458482
cg06269753	0.31643107	0.10662052	0.10216464	0.09922992	0.1127486	0.09546232	0.09854248	0.10410699	0.09933926	0.10117742	0.08895899	0.10964781	0.07951978	0.12331559	0.107741	0.09838845	0.10783698	0.09018174	0.09921587	0.0911593	0.11999468	0.13762764	0.14273223	0.11967691	0.10598578	0.08269812	0.10615234	0.0843897	0.09311743	0.09074534	0.11366291	0.11203127	0.1028568	0.09368639	0.11206496
cg25717438	0.40609376	0.12320065	0.11162922	0.09708247	0.09194544	0.09061466	0.10949396	0.10915994	0.10005621	0.10952897	0.08454474	0.12975133	0.09303006	0.12906045	0.1054732	0.10346141	0.11133265	0.12251541	0.09810753	0.08963262	0.10826944	0.13446957	0.14422916	0.12538192	0.11349951	0.1183566	0.12281973	0.09722481	0.09360271	0.08563473	0.12505608	0.11325821	0.11014766	0.10443783	0.12151924
cg04461228	0.30905899	0.11587904	0.07305031	0.06016749	0.04658247	0.0543991	0.06283946	0.07267791	0.06935253	0.07288768	0.04461934	0.08726188	0.03285387	0.08224703	0.05374717	0.05594988	0.09064967	0.08516824	0.06762499	0.05027705	0.07536403	0.12093022	0.09923509	0.09301477	0.0811129	0.07448812	0.07309753	0.05377378	0.04752365	0.06473941	0.07397783	0.07027479	0.06414711	0.07162656	0.07712837
cg00792966	0.23308596	0.06148902	0.04112919	0.04679822	0.04156037	0.04193483	0.05176948	0.04981093	0.04582972	0.05690642	0.03947888	0.04399995	0.03179036	0.06443138	0.04175475	0.04193953	0.05952188	0.05474344	0.04542718	0.03440629	0.05638248	0.07094075	0.08158504	0.05884952	0.04983387	0.05167433	0.06199583	0.04635929	0.04133746	0.04464939	0.05718928	0.0554392	0.04938895	0.04811872	0.04822729
cg01829002	0.31941609	0.08591191	0.07106912	0.06202953	0.05857783	0.06039682	0.07838344	0.07481904	0.06684179	0.09092762	0.05607149	0.07414597	0.04223562	0.08689732	0.07977878	0.05660697	0.09546145	0.08170501	0.06387559	0.05387039	0.07563789	0.09693467	0.10298174	0.07965531	0.07007162	0.0701293	0.07369671	0.04992967	0.05691487	0.06531056	0.08148794	0.08433495	0.06967173	0.05807342	0.08624863
cg05176991	0.26983468	0.08443813	0.07956869	0.06670507	0.06692253	0.06380392	0.06910324	0.06973235	0.07037334	0.0696969	0.05097495	0.0678407	0.05477137	0.09655485	0.06471558	0.06600568	0.08637343	0.06813488	0.06684188	0.04966691	0.0811235	0.10103166	0.11258025	0.09525273	0.07393293	0.09443816	0.07931334	0.06736572	0.07201912	0.05980842	0.07512402	0.08146312	0.07787327	0.07447072	0.07225196
cg09278980	0.48880386	0.12114987	0.14031963	0.13372041	0.11592968	0.11214634	0.12231907	0.13704787	0.15507526	0.11148222	0.1469561	0.13977492	0.08266942	0.22850251	0.09251787	0.08701239	0.10498992	0.16576263	0.14211668	0.11331283	0.15167626	0.16757781	0.18517365	0.14029591	0.13498592	0.19906394	0.17931735	0.07688956	0.10408899	0.11476902	0.13208104	0.15980713	0.14166746	0.13257117	0.19442516
cg23093589	0.34274445	0.10823676	0.10478941	0.09035778	0.11040357	0.09398652	0.08872135	0.10974443	0.11971629	0.11396134	0.08148436	0.10334604	0.0658053	0.09721825	0.09509886	0.1020269	0.09376351	0.0960257	0.09567439	0.09093586	0.10777777	0.16407883	0.15420773	0.14825198	0.12353787	0.14552822	0.12464318	0.0861855	0.10428845	0.08864737	0.14101504	0.11804591	0.10906845	0.12112555	0.10876447
cg00868875	1	0.86131	0.7933682	0.820284	0.7467046	0.8034931	0.8127773	0.8401835	0.8686885	0.8632558	0.8232731	0.8265294	0.8274252	0.7524342	0.7077346	0.8379935	0.8230201	0.9004105	0.7886441	0.7352498	0.7788747	0.8373389	0.7944055	0.8645357	0.8728061	0.8811847	0.8118727	0.7695003	0.7981397	0.8148318	0.934244	0.8602777	0.6132839	0.8347478	0.8419106
cg03890037	0.5203356	0.2472519	0.2513564	0.2201086	0.2019473	0.211398	0.2210038	0.2283087	0.2331203	0.2274894	0.2138849	0.2271419	0.1947776	0.2655109	0.2285367	0.2036905	0.277917	0.2156833	0.2056918	0.1987268	0.2192713	0.260482	0.2575799	0.2399399	0.2208702	0.2167724	0.2548458	0.1986306	0.2027887	0.1710565	0.2241333	0.2329482	0.220788	0.2377207	0.2181533
cg15520279	0.32329518	0.08595155	0.09314412	0.06739351	0.0700773	0.0770375	0.07689641	0.08300292	0.08211896	0.09580508	0.06767161	0.08976799	0.05824561	0.08694281	0.06845448	0.06564321	0.07049289	0.06378332	0.07601648	0.0859756	0.0921681	0.11988855	0.11036706	0.09639287	0.07621036	0.12781279	0.09300667	0.07364383	0.07075404	0.08623464	0.09285176	0.09410532	0.08048351	0.0929127	0.08804895
cg15801340	0.5515113	0.2178924	0.2205082	0.20753	0.2036481	0.1934918	0.203081	0.2342793	0.239579	0.1900865	0.2037796	0.2059348	0.1759808	0.2673333	0.215841	0.1698479	0.1993812	0.2412814	0.2268198	0.2152489	0.2502449	0.3039316	0.2528806	0.2575424	0.2844943	0.2665339	0.2561584	0.185779	0.2038363	0.2079381	0.2839658	0.2212129	0.2091092	0.2330418	0.3063162
cg25342699	0.29791074	0.08804914	0.07556775	0.07542487	0.07158262	0.07298482	0.08626539	0.08681631	0.08146058	0.09978405	0.06836524	0.09369439	0.07189409	0.09877002	0.08238789	0.07752125	0.0948348	0.07611192	0.07918896	0.06440713	0.08591859	0.10943194	0.11372479	0.09575721	0.08348442	0.09195062	0.09427783	0.07135597	0.07505609	0.07976651	0.09462463	0.10110528	0.0759687	0.08912111	0.11361351
cg20610619	0.28176045	0.07382767	0.07691459	0.06894525	0.08047445	0.06334735	0.0712989	0.07580813	0.0732401	0.08955046	0.05963104	0.09280056	0.04664923	0.10237704	0.06713574	0.06300252	0.08847288	0.08009413	0.07562207	0.06106333	0.07316169	0.10147465	0.11080054	0.07570116	0.07472815	0.07779859	0.08235232	0.05386595	0.06263792	0.05988281	0.09426431	0.0746959	0.06263927	0.08075078	0.09777059
cg22070855	0.36705885	0.12750397	0.11340375	0.09983777	0.11593402	0.0908924	0.10964752	0.11313929	0.11111741	0.11575225	0.09057818	0.13519751	0.06603382	0.11728083	0.09725132	0.1005543	0.11642191	0.09861933	0.09630685	0.0897768	0.11704433	0.12118255	0.13658227	0.11305026	0.1118687	0.1491647	0.11833205	0.09435725	0.09287054	0.08193116	0.12860207	0.12636851	0.10222243	0.09802356	0.14830523
cg10964367	0.31771137	0.04482282	0.02899405	0.01829161	0.02843249	0.01850928	0.03535827	0.04023359	0.04342697	0.05309713	0.02625776	0.04889956	0.02636579	0.02889226	0.021082	0.02652226	0.03493621	0.04156909	0.03049476	0.02067699	0.02733609	0.04805115	0.05416057	0.04188914	0.03374863	0.04203707	0.03565561	0.01954051	0.01627416	0.01378768	0.04298279	0.05951282	0.03522336	0.0319281	0.05433381
cg09643752	0.25235412	0.08446293	0.04184397	0.04178307	0.04086569	0.03631327	0.04896579	0.04883841	0.04245875	0.04955842	0.03413342	0.05065262	0.02917144	0.05601704	0.0410944	0.04287984	0.05091625	0.04935641	0.04027786	0.0333057	0.05261827	0.06868938	0.07755124	0.06008969	0.04694376	0.03941162	0.05175713	0.03338383	0.0358676	0.04153476	0.05756215	0.052187	0.05027665	0.04022239	0.05175673
cg20049415	0.36987739	0.07474928	0.045194	0.04602712	0.04985644	0.04470919	0.06950251	0.07408829	0.10665097	0.06049259	0.0511791	0.05649282	0.04832048	0.06837749	0.05634694	0.05852169	0.06320525	0.09509015	0.05468331	0.0557028	0.04499355	0.09480341	0.08087211	0.07359086	0.07880989	0.08504558	0.0591731	0.04889392	0.04961213	0.04635682	0.07296931	0.08131621	0.05357996	0.05526264	0.07126456
cg06733419	0.3243193	0.11063775	0.12632481	0.106055	0.11813292	0.10253529	0.09273749	0.10279635	0.09490261	0.08906296	0.09692744	0.10104488	0.07769014	0.14568651	0.10035439	0.10403907	0.10552147	0.08652169	0.10673976	0.09971663	0.11852291	0.16537762	0.15215098	0.13761935	0.11448232	0.12602226	0.1251775	0.11734414	0.10146916	0.10091344	0.1444887	0.11312097	0.11229931	0.12496755	0.10040609
cg10722799	0.29758239	0.09089338	0.06641501	0.07760248	0.07498095	0.07247604	0.08329334	0.08237192	0.08189587	0.07375631	0.06272364	0.09612392	0.06955762	0.11159139	0.07934755	0.07826204	0.09863019	0.07926883	0.0811766	0.06265436	0.0896139	0.12802664	0.12585154	0.0985549	0.09167803	0.0899794	0.10016471	0.08265736	0.07790206	0.07507295	0.10076449	0.0787067	0.0850221	0.08364172	0.07680964
cg03499234	0.29268392	0.10665968	0.07881449	0.07886242	0.0982707	0.06872908	0.09598625	0.09435202	0.08473494	0.09844158	0.06715071	0.08048298	0.06263629	0.09127022	0.07868191	0.07553658	0.09047981	0.07693299	0.08156685	0.07391234	0.08926127	0.11594309	0.11986203	0.10302568	0.08658977	0.07193675	0.08982825	0.07405428	0.07464909	0.08141551	0.08622787	0.11747314	0.06862083	0.08182074	0.10879291
cg15149655	0.39191967	0.10750549	0.132574	0.07567893	0.05503741	0.08080603	0.06850579	0.08955988	0.11463014	0.06388763	0.07781468	0.09043041	0.05237122	0.13220928	0.11828363	0.1222995	0.06320008	0.08742811	0.06011548	0.0618817	0.08331211	0.15026892	0.15021626	0.14509143	0.11591547	0.07967407	0.09235571	0.04598095	0.08400379	0.08181212	0.12665788	0.04990855	0.06924623	0.08975416	0.06269943
cg22374237	0.4616891	0.2069045	0.2227797	0.1882568	0.216775	0.1854861	0.1946588	0.2096299	0.1928927	0.2019271	0.1874083	0.2024897	0.160838	0.1899941	0.1927125	0.1896663	0.1918096	0.1934252	0.2017447	0.1825564	0.2206062	0.2228765	0.2094182	0.2210002	0.2267048	0.2140095	0.2105425	0.1569534	0.1988742	0.217543	0.2449206	0.2219537	0.2007599	0.187707	0.2341192
cg10640845	0.482933	0.151722	0.1505946	0.119794	0.1227395	0.1232169	0.1717535	0.1656304	0.1948074	0.1485908	0.1087047	0.1646999	0.121491	0.1726268	0.105137	0.1119711	0.1449307	0.1587183	0.1473626	0.1030806	0.1524345	0.2110283	0.1992845	0.1792064	0.1642301	0.1991142	0.1822452	0.117575	0.1320458	0.1164558	0.1475515	0.1911618	0.1410616	0.133356	0.1922916
cg26123605	0.31967446	0.09112252	0.09405278	0.08101937	0.07996805	0.08278206	0.08988384	0.09842352	0.09576051	0.10071265	0.0775611	0.08550916	0.06471741	0.11219056	0.09029088	0.08468237	0.10561469	0.08505376	0.08956216	0.06932685	0.10313645	0.11863727	0.12956752	0.11376957	0.09326008	0.10907529	0.11002628	0.09758886	0.08336447	0.09832074	0.11915024	0.10921964	0.08303508	0.08612262	0.12072861
